,expression,subset,number of hits,number of hits per million tokens
769,come to terms with,phrase,1,0.01
550,strike a chord,phrase,4,0
514,bundle of joy,phrase,5,0
549,hot and heavy,phrase,5,0
207,economical with the truth,phrase,7,0
232,blow someone's mind,phrase,10,0
621,break the back of,phrase,11,0
548,walk all over,phrase,16,0
697,put paid to,phrase,17,0
345,out of the blue,phrase,18,0
401,things that go bump in the night,phrase,18,0
493,full of beans,phrase,18,0
126,to the bone,phrase,20,0
165,in the driving seat,phrase,20,0
197,nip and tuck,phrase,20,0
212,go up in smoke,phrase,20,0
229,all over the map,phrase,20,0
234,odds and ends,phrase,20,0
237,out to lunch,phrase,20,0
244,to die for,phrase,20,0
248,in black and white,phrase,20,0
289,come a cropper,phrase,20,0
293,toe the line,phrase,20,0
296,high and mighty,phrase,20,0
297,around the clock,phrase,20,0
301,bright and early,phrase,20,0
313,from the word go,phrase,20,0
319,in this day and age,phrase,20,0
362,dead in the water,phrase,20,0
364,take no prisoners,phrase,20,0
383,cut and thrust,phrase,20,0
386,go through the motions,phrase,20,0
397,steal someone's thunder,phrase,20,0
423,fly a kite,phrase,20,0
428,to the hilt,phrase,20,0
433,shoot the breeze,phrase,20,0
454,hit the headlines,phrase,20,0
477,duke it out,phrase,20,0
480,at the drop of a hat,phrase,20,0
489,force someone's hand,phrase,20,0
532,in the nick of time,phrase,20,0
552,cap in hand,phrase,20,0
562,stand the test of time,phrase,20,0
564,for a song,phrase,20,0
595,push someone's buttons,phrase,20,0
622,play the field,phrase,20,0
627,up to snuff,phrase,20,0
629,bite the bullet,phrase,20,0
648,go without saying,phrase,20,0
655,joined at the hip,phrase,20,0
670,on the button,phrase,20,0
671,leave no stone unturned,phrase,20,0
692,think the world of,phrase,20,0
733,a hair's breadth,phrase,20,0
736,over my dead body,phrase,20,0
761,get off the ground,phrase,20,0
781,on the back burner,phrase,20,0
132,run the gauntlet,phrase,21,0
148,live and let live,phrase,21,0
191,to all intents and purposes,phrase,21,0
200,jack of all trades,phrase,21,0
205,have someone's number,phrase,21,0
222,beyond the pale,phrase,21,0
247,pick up the tab,phrase,21,0
278,make a move,phrase,21,0
287,pay the piper,phrase,21,0
316,dressed to the nines,phrase,21,0
324,grind to a halt,phrase,21,0
343,follow in someone's footsteps,phrase,21,0
376,under lock and key,phrase,21,0
393,on the rocks,phrase,21,0
421,go from strength to strength,phrase,21,0
452,with open arms,phrase,21,0.01
563,reach for the stars,phrase,21,0
584,hope against hope,phrase,21,0
601,from pillar to post,phrase,21,0
628,kiss of death,phrase,21,0
700,out of the picture,phrase,21,0
708,stop at nothing,phrase,21,0
732,talk the talk,phrase,21,0
734,up and running,phrase,21,0.01
752,under the gun,phrase,21,0
110,carry the can,phrase,22,0
118,go to the wall,phrase,22,0
119,see the light of day,phrase,22,0
142,take it from me,phrase,22,0
149,born and bred,phrase,22,0
150,heart of gold,phrase,22,0
153,out of line,phrase,22,0
181,jump on the bandwagon,phrase,22,0
187,pick up the pieces,phrase,22,0
192,"day in, day out",phrase,22,na
257,in the sticks,phrase,22,0
266,down the drain,phrase,22,0
309,ride roughshod over,phrase,22,0
400,make light of,phrase,22,0
427,in living memory,phrase,22,0
449,on the game,phrase,22,0
463,fire in the belly,phrase,22,0
492,fall from grace,phrase,22,0
513,shake a leg,phrase,22,0
515,fill the bill,phrase,22,0
516,make a clean break,phrase,22,0
542,pick someone's brain,phrase,22,0
581,wide of the mark,phrase,22,0
645,on the pull,phrase,22,0
709,easier said than done,phrase,22,0.01
718,tip the scales,phrase,22,0
758,time will tell,phrase,22,0
112,on the bubble,phrase,23,0
199,out of order,phrase,23,0
210,sit on the fence,phrase,23,0
242,rob Peter to pay Paul,phrase,23,0
264,give up the ghost,phrase,23,0
268,win the day,phrase,23,0
280,the icing on the cake,phrase,23,0
281,lose the plot,phrase,23,0
294,grasp the nettle,phrase,23,0
317,go to the mat,phrase,23,0
350,word of mouth,phrase,23,0
430,from A to Z,phrase,23,0
435,have it easy,phrase,23,0
517,take it easy,phrase,23,0
518,tried and true,phrase,23,0
519,ahead of the curve,phrase,23,0
536,in the driver's seat,phrase,23,0
569,down the tubes,phrase,23,0
607,come full circle,phrase,23,0
637,on a roll,phrase,23,0
663,rags to riches,phrase,23,0
681,at a loss for words,phrase,23,0
685,read my lips,phrase,23,0
727,throw in the towel,phrase,23,0
729,all in a day's work,phrase,23,0
738,pay through the nose,phrase,23,0
739,to the nth degree,phrase,23,0
69,double cross,ncs,24,0
167,walk the plank,phrase,24,0
178,all bets are off,phrase,24,0
182,turn the other cheek,phrase,24,0
183,raise the roof,phrase,24,0
209,out of the woods,phrase,24,0
223,blood and guts,phrase,24,0
226,hit the skids,phrase,24,0
286,under the microscope,phrase,24,0
318,fight fire with fire,phrase,24,0
366,take a hike,phrase,24,0
392,out of sorts,phrase,24,0
403,call the shots,phrase,24,0
