on the square,
flash in the pan,
in the raw,
down in the dumps,
eager beaver,
off the hook,
grandfather clock,
hold someone's hand,
snake oil,
look the other way,
on the back of,
stay the course,
rat run,
brass ring,
over the top,
rock the boat,
put the cart before the horse,
on the nose,
smoke screen,
flea market,
put down roots,
graveyard shift,
sweetness and light,
with a vengeance,
zebra crossing,
pack a punch,
sitting duck,
dark horse,
agony aunt,
swan song,
in the fast lane,
set the wheels in motion,
gravy train,
rough around the edges,
hot potato,
big wig,
on the mend,
blind alley,
rocket science,
goose egg,
on the skids,
monkey business,
rock bottom,
bury the hatchet,
low profile,
up the river,
smoking gun,
double dutch,
move heaven and earth,
big cheese,
poison pill,
head hunter,
shrinking violet,
black box,
pipe dream,
heavy cross,
nest egg,
big picture,
banana republic,
damp squib,
