,idiom,GPT_Fam_dominant,GPT_Fam_probs,Multilex_Zipf,Type,Subtype_MWE
1406,acid test,5,5.02,,MWE,
1486,across the board,6,6.06,,MWE,
1676,add fuel to the fire,6,5.83,,MWE,
2303,against the grain,6,5.55,,MWE,
2421,agony aunt,3,3.57,,MWE,
3080,all bets are off,6,5.73,,MWE,
3143,all over the map,5,4.41,,MWE,
3144,all over the place,6,6.28,,MWE,
5023,apples and oranges,6,6.33,,MWE,
6526,at the end of the day,7,6.5,,MWE,
8443,banana republic,4,4.42,,MWE,
9299,batten down the hatches,3,3.62,,MWE,
10561,behind closed doors,6,6.06,,MWE,
10566,behind someone's back,6,6.11,,MWE,
10572,behind the scenes,7,6.56,,MWE,
10691,bells and whistles,6,5.82,,MWE,
10738,below the belt,6,5.7,,MWE,
11134,between a rock and a hard place,6,5.98,,MWE,
11323,big cheese,4,4.22,,MWE,
11332,big fish,6,6.23,,MWE,
11366,big picture,6,6.24,,MWE,
11391,big wig,5,4.86,,MWE,
12085,black and blue,6,5.59,,MWE,
12108,black box,6,5.9,,MWE,
12413,blaze a trail,5,4.5,,MWE,
12503,blind alley,4,4.33,,MWE,
12671,blood and guts,5,4.78,,MWE,
12983,blue blood,4,4.25,,MWE,
14948,break someone's heart,6,6.43,,MWE,
14953,break the back of,5,4.49,,MWE,
14957,break the ice,6,6.12,,MWE,
15399,bring home the bacon,6,5.95,,MWE,
16626,burst someone's bubble,5,5.38,,MWE,
16635,bury the hatchet,6,5.84,,MWE,
16830,busy bee,6,6.06,,MWE,
17150,by the book,6,6.05,,MWE,
17542,call a spade a spade,5,4.69,,MWE,
18121,cap in hand,3,3.58,,MWE,
18832,carrot and stick,5,5.26,,MWE,
19172,cast the first stone,6,5.57,,MWE,
23127,close to home,6,5.71,,MWE,
23142,closed book,5,5.03,,MWE,
24626,come with the territory,5,5.2,,MWE,
26843,cook the books,5,4.53,,MWE,
28485,crash and burn,6,5.78,,MWE,
29102,crocodile tear,4,4.0,,MWE,
30125,cut and dried,5,5.37,,MWE,
30135,cut both ways,5,5.31,,MWE,
30142,cut from the same cloth,5,5.33,,MWE,
30245,cutting edge,6,6.22,,MWE,
30669,dark horse,5,5.04,,MWE,
31082,dead and buried,6,6.01,,MWE,
