idiom,number of hits,number of hits per million tokens,log number of hits,,log number of hits per million tokens,
down in the dumps,41,0,1.61278385671974,,0.207576167684189,0.139098338246421
muddy the waters,104,0,2.01703333929878,,0.30471307667277,
panda car,299,0,2.47567118832443,,0.393692962408223,
do someone proud,326,0.01,2.51321760006794,break here,0.400230092419687,
licence to print money,498,0.01,2.69722934275972,,0.430917875655838,
double dutch,765,0.01,2.88366143515362,,0.459944269405276,
press the panic button,781,0.01,2.8926510338773,,0.461296044016892,
bad hat,823,0.01,2.91539983521227,,0.464698124898936,
at sixes and sevens,967,0.02,2.985426474083,,0.475006379723714,
in someone's pocket,1007,0.02,3.00302947055362,,0.477559594215635,
banana republic,1032,0.02,3.01367969729119,,0.479097092341257,
put the boot in,1133,0.02,3.0542299098634,,0.484901725852956,
big picture,1168,0.02,3.06744284277638,,0.486776479044327,
at a canter,1280,0.02,3.10720996964787,,0.492370601687009,
heavy cross,1337,0.02,3.12613140726198,,0.49500722968102,
eager beaver,1396,0.02,3.14488541828714,,0.497604826852151,
closed book,1430,0.02,3.15533603746506,,0.499045617604047,
carry the can,1502,0.02,3.17666993266815,,0.501972092426227,
heads will roll,1503,0.02,3.17695898058691,,0.502011607455488,
the buck stops here,1535,0.02,3.18610837981321,,0.50326054483431,
eat humble pie,1569,0.03,3.19562294358694,,0.504555530598167,
grasp the nettle,1693,0.03,3.22865695810894,,0.509021904071163,
cutting edge,1706,0.03,3.2319790268315,,0.509468533859696,
hit the bottle,1715,0.03,3.23426412437879,,0.509775483435671,
hair of the dog,1758,0.03,3.24501887073775,,0.51121722669369,
hammer and tongs,1822,0.03,3.26054837263698,,0.513290647669833,
on the side of the angels,1830,0.03,3.26245108973043,,0.51354400950514,
full of beans,1852,0.03,3.26764098234592,,0.514234334289007,
fire in the belly,1865,0.03,3.27067883614471,,0.514637900732132,
dyed in the wool,1923,0.03,3.28397928423848,,0.516400408870883,
cap in hand,2012,0.03,3.30362797638389,,0.518991135228127,
six of the best,2021,0.03,3.3055663135153,,0.51924587403817,
swings and roundabouts,2056,0.03,3.31302311032324,,0.520224465357013,
set the wheels in motion,2080,0.03,3.31806333496276,,0.520884671550404,
head hunter,2235,0.04,3.34927752746796,,0.524951135492735,
strike while the iron is hot,2290,0.04,3.35983548233989,,0.526318012252576,
come in from the cold,2291,0.04,3.3600250891894,,0.526342520263603,
wet behind the ears,2328,0.04,3.36698297597785,,0.527240920528994,
peaches and cream,2384,0.04,3.3773062510682,,0.528570443850843,
on the hop,2426,0.04,3.38489079653055,,0.529544662022872,
power behind the throne,2464,0.04,3.39164070349239,,0.530409838644972,
rob Peter to pay Paul,2546,0.04,3.40585839931764,,0.532226587938578,
make a clean break,2632,0.04,3.42028588494192,,0.534062408121544,
wake up and smell the coffee,2639,0.04,3.42143939022005,,0.534208851003051,
everything but the kitchen sink,2769,0.04,3.44232295574557,,0.53685161303354,
push the boat out,2843,0.05,3.45377685969044,,0.538294275404115,
cut and thrust,2946,0.05,3.46923274250661,,0.540233436594923,
fashion plate,2948,0.05,3.46952747918701,,0.540270331518483,
make a meal of,2966,0.05,3.47217114669236,,0.540601123829399,
in the doghouse,3007,0.05,3.47813342810052,,0.54134623838443,
agony aunt,3039,0.05,3.48273070007994,,0.541919894213937,
zebra crossing,3044,0.05,3.48344464809854,,0.542008913990336,
shrinking violet,3160,0.05,3.4996870826184,,0.544029214530998,
pour cold water on,3182,0.05,3.50270017531056,,0.544402964100175,
big cheese,3186,0.05,3.50324577146511,,0.544470606471825,
the bee's knees,3234,0.05,3.50974001557038,,0.545274947239338,
go for the jugular,3278,0.05,3.51560894923448,,0.546000561329308,
round the bend,3288,0.05,3.51693180886801,,0.546163947697254,
things that go bump in the night,3303,0.05,3.51890857369141,,0.546407983386165,
under the wire,3313,0.05,3.52022143588196,,0.54656998318179,
damp squib,3339,0.05,3.52361641905437,,0.546988625008155,
dig up dirt,3358,0.05,3.52608069180203,,0.5472922465916,
batten down the hatches,3393,0.06,3.53058385964512,,0.54784653146558,
nip and tuck,3414,0.06,3.53326351677871,,0.548176029060962,
rat run,3469,0.06,3.54020429984206,,0.549028325227449,
grease the wheels,3494,0.06,3.54332290064691,,0.54941073110237,
bring home the bacon,3511,0.06,3.54543082946535,,0.549669016808413,
rise and shine,3590,0.06,3.55509444857832,,0.550851143167476,
on the skids,3609,0.06,3.55738688205951,,0.551131099261335,
horses for courses,3616,0.06,3.55822842180333,,0.55123382433939,
throw the book at,3626,0.06,3.55942779975949,,0.551380188034627,
cast the first stone,3628,0.06,3.55966727838806,,0.551409406424273,
busy bee,3711,0.06,3.56949095434878,,0.552606285725518,
throw the baby out with the bathwater,3712,0.06,3.56960796754682,,0.552620522308251,
sweetness and light,3842,0.06,3.58455736052567,,0.554435534411122,
the ball is in someone's court,3867,0.06,3.58737417207307,,0.554776677036072,
spend a penny,3880,0.06,3.58883172559421,,0.554953095458018,
separate the wheat from the chaff,3962,0.06,3.59791447120253,,0.55605083518344,
head for the hills,4082,0.07,3.61087300038005,,0.557612213931097,
flower child,4118,0.07,3.61468634228201,,0.558070618165524,
fly off the handle,4157,0.07,3.61878002450621,,0.558562184366372,
clear the decks,4167,0.07,3.61982350045728,,0.558687395216537,
get a rise out of,4170,0.07,3.62013605497376,,0.558724892857469,
take the bull by the horns,4180,0.07,3.62117628177503,,0.558849667136445,
raise the roof,4220,0.07,3.62531245096167,,0.559345442598273,
wipe the slate clean,4240,0.07,3.62736585659273,,0.559591360787579,
pound the pavement,4253,0.07,3.62869538271402,,0.559750512108231,
go to the wall,4280,0.07,3.63144376901317,,0.560079323729037,
walk the plank,4299,0.07,3.63336744511701,,0.560309320603495,
move heaven and earth,4346,0.07,3.63808972198451,,0.560873405360309,
ride roughshod over,4374,0.07,3.64087877870162,,0.561206219549881,
pay the piper,4485,0.07,3.65176244738011,,0.562502518274223,
joined at the hip,4563,0.07,3.65925046877266,,0.563392137139784,
cook the books,4637,0.08,3.6662370958958,,0.564220547399148,
big wig,4728,0.08,3.6746774678732,,0.565219226394369,
water under the bridge,4733,0.08,3.67513650446799,,0.565273474586533,
on the warpath,4765,0.08,3.67806290497435,,0.565619152593637,
