idiom,sentence
all hell broke loose,"[INST] expression: 'all hell broke loose'
 sentence: 'Then all hell broke loose .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  The expression ""all hell broke loose"" is a common idiomatic phrase that can have both figurative and literal meanings depending on the context in which it is used.

In the context of the sentence ""Then all hell broke loose,"" the expression is more likely to have a figurative meaning.

Output: i (fig"
all hell broke loose,"[INST] expression: 'all hell broke loose'
 sentence: 'Not at all bad considering that all hell broke loose in September and the City was rocked by events outside its control .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""all hell broke loose"" is a common idiom that means a chaotic or catastrophic situation has occurred. In the context of the sentence, it is being used figuratively to describe the unexpected events that took place in September, which disrupted the City and were"
all hell broke loose,"[INST] expression: 'all hell broke loose'
 sentence: 'We knew the German signals for the night , so we tricked them into holding fire until we were about a mile out , then all hell broke loose .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  In this context, the expression ""all hell broke loose"" has a figurative meaning.

Output: i (figurative)

The phrase ""all hell broke loose"" is an idiomatic expression that means a chaotic and intense situation, often with a sense of surprise or unpredictability. In the sentence,"
off the hook,"[INST] expression: 'off the hook'
 sentence: 'The Spectator gets its readers off the hook by a return to Malthus , who made a virtue of not helping the poor , as then , he informed us , they would drag us down by overbreeding .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""get(s) someone off the hook"" means to exempt or excuse someone from a responsibility or duty. In the context of the sentence, The Spectator is using Malthus' ideas to excuse or justify not helping the poor, implying that the speaker"
off the hook,"[INST] expression: 'off the hook'
 sentence: 'He was off the hook .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Sure! In this case, the expression ""off the hook"" has a figurative meaning. Here are the possible outputs:

Output: i (Figurative meaning)

The expression ""off the hook"" means that someone is no longer in trouble or under obligation. It can also imply that they have been excused or"
off the hook,"[INST] expression: 'off the hook'
 sentence: 'I must have left it off the hook this morning .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Sure, I'd be happy to help!

In the context of the sentence ""I must have left it off the hook this morning,"" the expression ""off the hook"" holds a figurative meaning.

Output: i (figurative meaning)

The phrase ""off the hook"" is a common idiom that"
against the grain,"[INST] expression: 'against the grain'
 sentence: 'Out of duty she had caved in , but it still went against the grain .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""against the grain"" in the sentence means that the action of caving in is not natural or easy for the person, despite their duty. It implies a sense of resistance or discomfort.

In this context, ""against the grain"
against the grain,"[INST] expression: 'against the grain'
 sentence: 'Every erm pitchfork must come out one You ca n't start fighting and and pulling it against the grain otherwise you you would be in trouble .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  In the context of the sentence, the expression ""against the grain"" holds a figurative meaning.

Output: i (figurative meaning)

The phrase ""against the grain"" is often used metaphorically to describe something that goes against one's nature or instincts, or something"
play with fire,"[INST] expression: 'play with fire'
 sentence: 'The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""play with fire"" in the contextual sentence is used metaphorically to describe the Unionists' approach to a sensitive issue. It implies that they are taking a risky or dangerous approach to something, without necessarily intending to cause harm.

In this context"
play with fire,"[INST] expression: 'play with fire'
 sentence: 'The stunts became more daring and , in one episode , Crawford found himself literally playing with fire , when what looked like fireworks were attached to the back of his jacket and suddenly had to start exploding .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: l

The sentence ""The stunts became more daring and, in one episode, Crawford found himself literally playing with fire when what looked like fireworks were attached to the back of his jacket and suddenly had to start exploding"" indicates that the expression ""playing with fire"" has a literal meaning in"
play with fire,"[INST] expression: 'play with fire'
 sentence: 'Ladies and gentlemen , please ask the people in your constituencies whether they want us to play with fire in this way .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""play with fire"" in the contextual sentence is a metaphorical or figurative expression, indicating that the speaker is cautioning against taking risks or engaging in dangerous or reckless behavior. The phrase is often used to advise someone to be careful and avoid"
make a killing,"[INST] expression: 'make a killing'
 sentence: 'Gardening columns in the Sunday newspapers were full of it , magazines and television programmes gave advice and encouragement and the garden centres made a killing on weedkiller sales .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  In this context, the expression ""make a killing"" holds a figurative meaning.

'Output: i' - Figurative meaning:

The phrase ""make a killing"" is often used metaphorically to describe something that is very successful or profitable. In this sentence, the sales of weedkiller are"
make a killing,"[INST] expression: 'make a killing'
 sentence: 'One of the psychologists , who moved into the salesman 's world like witch doctors and made a killing , was Dr Ernest Dichter from Freud 's own city of Vienna , the ‘ father’ of Motivational Research , whose institute could be hired to help sell anything for $ 500 a day .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""make a killing"" in the sentence is figurative, as it means to be extremely successful or profitable in a particular field or endeavor. The phrase is often used to describe someone who is doing very well financially or who has made a lot of money quickly.
"
make a killing,"[INST] expression: 'make a killing'
 sentence: 'Mr Steinkühler , a member of Daimler - Benz 's supervisory board , made a killing by buying shares of Mercedes Holding shortly before they were exchanged for shares in Daimler - Benz .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i

The expression ""make a killing"" in this context holds a figurative meaning. It means that Mr. Steinkühler made a significant profit or gained a substantial advantage by buying shares of Mercedes Holding before they were exchanged for shares in Daimler-Benz. The word ""killing"""
carry the can,"[INST] expression: 'carry the can'
 sentence: 'In Tory demonology they will always carry the can.’' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (Figurative meaning)

The expression ""carry the can"" in the contextual sentence is meant figuratively. It means that the Tories (a political party in the UK) will be held responsible or blamed for their actions, policies, or decisions, no matter how difficult or challenging they may"
carry the can,"[INST] expression: 'carry the can'
 sentence: 'It is the racing industry 's ‘ generals’ who must carry the can .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  In this context, the expression ""carry the can"" holds a figurative meaning.

Output: i (figurative meaning)

The phrase ""carry the can"" is a metaphorical expression that means to take responsibility or blame for something. In this sentence, it is used to imply that the racing"
carry the can,"[INST] expression: 'carry the can'
 sentence: 'It not take him long to realize that if the police wanted someone to carry the can , then Dirk Coetzee was heading for death row .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""carry the can"" in the sentence has a figurative meaning. It means that Dirk Coetzee is being blamed or held responsible for something, much like carrying a heavy load or burden. The phrase suggests that he is being made to take the bl"
in the doghouse,"[INST] expression: 'in the doghouse'
 sentence: 'Likewise the best time to buy a share is when it is in the doghouse with everyone saying ‘ sell , sell sell.’' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""in the doghouse"" is a common idiom that means in a difficult or unpleasant situation, often due to one's own actions or mistakes. In the context of the sentence, the speaker is suggesting that the best time to buy a share is when it is"
in the doghouse,"[INST] expression: 'in the doghouse'
 sentence: '‘ Who 's in the doghouse , then?’ asked Zach .' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""in the doghouse"" is a common idiom that means to be in trouble or disfavor, often due to something one has done wrong. In this context, Zach's question ""Who's in the doghouse, then?"" implies that someone is in trouble"
