idiom,sentence
all hell broke loose,"[INST] expression: 'all hell broke loose'
 sentence: 'When the demons were unleashed from the underworld, all hell broke loose on Earth.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

In this case, the expression ""all hell broke loose"" is used figuratively to describe a chaotic and disastrous situation. So, I will generate ""output: i"" for you."
all hell broke loose,"[INST] expression: 'all hell broke loose'
 sentence: 'After the sorcerer opened the forbidden book, all hell broke loose as literal demons poured into the world.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

Expression: 'all hell broke loose'

Sentence: 'After the sorcerer opened the forbidden book, all hell broke loose as literal demons poured into the world.'

Output: l"
all hell broke loose,"[INST] expression: 'all hell broke loose'
 sentence: 'The moment the evil queen shattered the ancient seal, all hell broke loose, with fiery creatures rampaging through the kingdom.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I can help you with that!

The expression ""all hell broke loose"" in the given sentence is used figuratively. Therefore, I will generate ""output: i""."
off the hook,"[INST] expression: 'off the hook'
 sentence: 'The fish wriggled and managed to get itself off the hook.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure! Here's the output for the given sentence:

Output: i (figurative)

The expression ""off the hook"" is commonly used figuratively to mean ""free from blame or responsibility"" or ""excused from a duty or obligation."" In this sentence, the fish manages to get itself"
off the hook,"[INST] expression: 'off the hook'
 sentence: 'She carefully took the ornament off the hook to avoid breaking it.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

Expression: 'off the hook'

Sentence: 'She carefully took the ornament off the hook to avoid breaking it.'

Output: i (figurative)

In this case, the expression 'off the hook' is being used figuratively to"
off the hook,"[INST] expression: 'off the hook'
 sentence: 'The coat fell off the hook and onto the floor.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

Expression: 'off the hook'

Sentence: The coat fell off the hook and onto the floor.

Output: l (literal)

In this case, the expression ""off the hook"" is used literally, as the coat actually fell off the"
against the grain,"[INST] expression: 'against the grain'
 sentence: 'Carpenters recommend not to sand against the grain as it can damage the wood.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure! Here's the output based on the given sentence:

Output: i (figurative)

The expression ""against the grain"" in this sentence is figurative, meaning that it is used to describe a situation where something goes against the natural or expected direction or flow. In the context of carp"
against the grain,"[INST] expression: 'against the grain'
 sentence: 'She sliced the loaf of bread against the grain, making the pieces uneven.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure! Here's the output for the given sentence:

Output: i (figurative)

The expression ""against the grain"" in this sentence is figurative, meaning that it is used to describe the act of slicing the bread in an unconventional or difficult way, rather than literally"
play with fire,"[INST] expression: 'play with fire'
 sentence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i (figurative)

The expression ""play with fire"" is a common idiom that means to take unnecessary risks or engage in dangerous or reckless behavior. In this sentence, the speaker is using the idiom figuratively to describe the person's decision to poke the embers with a stick,"
play with fire,"[INST] expression: 'play with fire'
 sentence: 'The children were strictly forbidden to play with fire while camping.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i

The expression ""play with fire"" is figurative, meaning that it is an idiomatic expression that does not have a literal meaning. It is often used to caution people against taking risks or engaging in dangerous or reckless behavior, as playing with fire can lead to unintended consequences. In the"
play with fire,"[INST] expression: 'play with fire'
 sentence: 'As a fire performer, she had learned how to safely play with fire.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

Expression: 'play with fire'

Sentence: 'As a fire performer, she had learned how to safely play with fire.'

Output: i (figurative)"
make a killing,"[INST] expression: 'make a killing'
 sentence: 'The ruthless mob boss gave his henchman an order to make a killing to send a clear message to his rivals.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

Expression: 'make a killing'

Sentence: The ruthless mob boss gave his henchman an order to make a killing to send a clear message to his rivals.

Output: i (figurative)

In this context,"
make a killing,"[INST] expression: 'make a killing'
 sentence: 'In the wild, the lion had to make a killing to feed his family.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure! In this case, the expression ""make a killing"" is used figuratively, so I will generate ""output: i""."
make a killing,"[INST] expression: 'make a killing'
 sentence: 'The detective found evidence suggesting that the suspect planned to make a killing.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i

The expression ""make a killing"" is figurative, meaning to earn a large amount of money or to be extremely successful. In this context, the detective found evidence suggesting that the suspect planned to earn a large sum of money through illegal means, rather than actually killing someone."
carry the can,"[INST] expression: 'carry the can'
 sentence: 'John had to carry the can of paint up the ladder to finish the mural.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure! Here's the output for the given sentence:

Output: i (figurative)

The expression ""carry the can"" is a common idiom that means to bear the responsibility or blame for something. In this sentence, John is not actually carrying a physical can of paint, but rather he is met"
carry the can,"[INST] expression: 'carry the can'
 sentence: 'While camping, she was assigned to carry the can of beans to the picnic table.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

Expression: 'carry the can'

Sentence: 'While camping, she was assigned to carry the can of beans to the picnic table.'

Output: l (literal)"
carry the can,"[INST] expression: 'carry the can'
 sentence: 'After the party, I had to carry the can of recycling out to the curb.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i (figurative)

The expression ""carry the can"" is a common idiom that means to take responsibility or blame for something. In this sentence, the speaker is using the phrase figuratively to indicate that they are responsible for taking the recycling out to the curb after the party. The phrase"
in the doghouse,"[INST] expression: 'in the doghouse'
 sentence: 'The mischievous puppy was put back in the doghouse after tearing up the garden.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i (figurative)

The expression ""in the doghouse"" is a common idiom that means in trouble or disfavor, often due to something the person has done wrong. It is not meant to be taken literally, as a doghouse is a physical structure where dogs are kept. In this sentence, the"
in the doghouse,"[INST] expression: 'in the doghouse'
 sentence: 'When it started to rain heavily, the old retriever took shelter in the doghouse.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure! Here's the output for the given sentence:

Output: i (figurative)

The expression ""in the doghouse"" is commonly used figuratively to mean ""in trouble or disfavor"" or ""in a difficult situation."" In this sentence, the old retriever taking shelter in the doghouse"
in the doghouse,"[INST] expression: 'in the doghouse'
 sentence: 'She placed a new, soft blanket in the doghouse for her pet's comfort.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I can help you with that!

The expression ""in the doghouse"" is figurative.

Output: i"
behind the scenes,"[INST] expression: 'behind the scenes'
 sentence: 'During the theater tour, we were excited to step behind the scenes and see the actors preparing.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i

The expression ""behind the scenes"" is used figuratively in this sentence to refer to the hidden or unseen aspects of something, such as the preparations and work that go into a theater production. It is not used literally to refer to a physical location or space behind the stage."
behind the scenes,"[INST] expression: 'behind the scenes'
 sentence: 'The film crew was busy setting up props and lighting behind the scenes.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i

The expression ""behind the scenes"" is often used figuratively to refer to the unseen or unpublicized aspects of a project or event. In this context, the phrase is used to convey that something is happening outside of the main stage or public view, such as the preparations, planning, or inner work"
