idiom,sentence
all hell broke loose," Output: i

The expression ""all hell broke loose"" is used figuratively in the sentence ""Then all hell broke loose."" It is a common idiomatic phrase used to describe a situation where chaos or confusion suddenly erupts. It is not meant to be taken literally, and it does not imply that actual hell or any supernatural forces are involved. Therefore, the answer is ""i"" for figurative."
all hell broke loose," Output: i

The expression ""all hell broke loose"" is used figuratively in the sentence. It is a common idiomatic expression that means a situation became chaotic or out of control, but it does not imply that actual hell or any supernatural forces were involved. The sentence suggests that unexpected and uncontrollable events occurred in September that had a significant impact on the city."
all hell broke loose," Output: i

The expression ""all hell broke loose"" is used figuratively in the sentence. It is a common idiomatic expression that means a situation became chaotic or intense. In this context, it suggests that the German forces began firing wildly or extensively, but it does not imply that actual hell or any supernatural entities were involved. Therefore, the answer is 'i' for figurative."
off the hook," Output: i

The expression ""off the hook"" is used figuratively in the sentence. The phrase means to avoid responsibility or consequences, and in this context, The Spectator is using Malthus' idea to justify not helping the poor, implying that they are not responsible for their situation. The phrase is not used literally, as there is no mention of a physical hook or any direct relationship between the poor and fishing."
off the hook," Output: i

The expression ""off the hook"" is used figuratively in the sentence ""He was off the hook."" It means that he was no longer in a difficult or dangerous situation, or that he was no longer responsible for something. The phrase is not meant to be taken literally, as it does not make sense to be ""off"" a hook in a physical sense. Therefore, the answer is ""i"" for figurative."
off the hook," Output: i

The expression ""off the hook"" is used figuratively in the sentence ""I must have left it off the hook this morning."" The phrase ""off the hook"" means to be free from a difficult or dangerous situation, or to be released from a responsibility or obligation. In this sentence, the speaker is using the phrase to indicate that they must have forgotten or left something behind, perhaps accidentally or without realizing it. The phrase is not being used literally to refer to a physical hook, but rather figuratively to describe the situation of being free from a responsibility or obligation."
against the grain," Output: i

The expression ""against the grain"" is used figuratively in the sentence ""Out of duty she had caved in, but it still went against the grain."" The phrase ""against the grain"" means to go against one's natural inclination or instinct, and is often used to describe a situation where someone is doing something they don't really want to do. In this sentence, the speaker is saying that they were forced to do something they didn't want to do, but it still felt wrong or unnatural to them. Therefore, the expression is used figuratively to describe a metaphorical resistance or discomfort, rather than a literal physical resistance."
against the grain," Output: i

The expression ""against the grain"" is used figuratively in the sentence. The phrase ""against the grain"" means to go against the natural or usual way of doing something, or to oppose the prevailing view or trend. In this sentence, the speaker is using the phrase to caution against resisting or fighting against something, as it would lead to trouble. The use of the phrase is not literal, as it is not referring to a physical grain or material. Therefore, the answer is ""i"" for figurative."
play with fire," Output: i

The expression ""play with fire"" is used figuratively in the sentence. The phrase is often used to describe a situation where someone is taking a risk or engaging in dangerous behavior, but in this context, it is clear that the author is using it metaphorically to describe the Unionists' actions in the national interest. The sentence suggests that the Unionists saw the war as a means to achieve their goals, but it did not change their perception of themselves. Therefore, the answer is ""i"" for figurative."
play with fire," Output: l

The expression ""play with fire"" is used literally in the sentence. The sentence describes a situation where Crawford is actually playing with fire, as fireworks are attached to the back of his jacket and start exploding. This is a dangerous and potentially harmful situation, and it is not a figurative or metaphorical representation of the phrase ""play with fire."""
play with fire," Output: i

The expression ""play with fire"" is used figuratively in the sentence. It is a metaphorical expression that means to take risks or engage in dangerous or reckless behavior. The speaker is using it to ask the audience to consider whether they want to engage in a risky behavior, rather than literal fireplay."
make a killing," Output: i

The expression ""make a killing"" is used figuratively in the sentence. It means to make a lot of money or profit, especially by selling something that is in high demand. In this context, the garden centers made a lot of money by selling weedkillers, as people were looking for ways to get rid of weeds in their gardens."
make a killing," Output: i

The expression ""make a killing"" is used figuratively in the sentence. It means to make a lot of money or be very successful, not to physically harm or kill someone. The context of the sentence suggests that Dr. Ernest Dichter was able to make a lot of money by offering his services as a motivational researcher, rather than engaging in any violent or harmful behavior."
make a killing," Output: i

The expression ""make a killing"" is used figuratively in the sentence. It means to make a large profit or gain financially, especially through a single transaction or investment. In this case, Mr. Steinkühler made a profit by buying shares of Mercedes Holding before they were exchanged for shares in Daimler-Benz. The phrase is not meant to be taken literally, as it is a common idiom used to describe financial success."
carry the can," Output: i

The expression ""carry the can"" is used figuratively in the sentence ""In Tory demonology they will always carry the can."" It means to take responsibility or blame for something, rather than carrying a physical can. Therefore, the answer is 'i' for figurative."
carry the can," Output: i

The expression ""carry the can"" is used figuratively in the sentence ""It is the racing industry's ‘generals’ who must carry the can."" The phrase ""carry the can"" means to take responsibility or be blamed for something. In this context, it suggests that the leaders or executives in the racing industry must accept responsibility for the consequences of their actions or decisions. Therefore, the answer is ""i"" for figurative."
carry the can," Output: i

The expression ""carry the can"" is used figuratively in the sentence. It means to take responsibility or blame for something, especially for something that is not one's fault. In this context, it suggests that Dirk Coetzee is being scapegoated for a crime he did not commit. Therefore, the answer is ""i"" for figurative."
in the doghouse," Output: i

The expression ""in the doghouse"" is used figuratively in the sentence. It means that the share is not doing well, and everyone is advising to sell it. The phrase is not meant to be taken literally, as it is not suggesting that the share is actually in a doghouse."
in the doghouse," Output: i

The expression ""in the doghouse"" is used figuratively in the sentence. It is a common idiom that means to be in trouble or disfavor, usually due to a mistake or wrongdoing. In this context, Zach is asking who is in trouble or has fallen out of favor, rather than asking about an actual doghouse."
in the doghouse," Output: i

The expression ""in the doghouse"" is used figuratively in the sentence ""That's you in the doghouse now."" It is a common idiom that means to be in trouble or disfavor, usually due to a mistake or wrongdoing. It is not meant to be taken literally, as there is no actual doghouse involved. Therefore, the answer is 'i' for figurative."
behind the scenes," Output: i

The expression ""behind the scenes"" is used figuratively in the sentence. It refers to the fact that the women are not visible to the audience, and their conversations and actions are not being broadcast or shown publicly. It implies that they are in a private setting, away from the public eye, and are able to relax and be themselves without worrying about being judged or observed.

The use of the phrase ""behind the scenes"" in this context is figurative because it is not meant to be taken literally. It is not suggesting that the women are actually hiding or concealing themselves, but rather that they are in a private area where they can feel comfortable and uninhibited."
behind the scenes," Output: i

The expression ""behind the scenes"" is used figuratively in the sentence. It means that the groups are given a tour of the archives and allowed to see the inner workings and methods used to preserve and care for the documents, rather than just seeing the public face of the archives. It is not meant to be taken literally, as there is no suggestion that the groups are going to be physically located behind the scenes."
behind the scenes," Output: i

The expression ""behind the scenes"" is used figuratively in the sentence. It refers to the idea that the person is usually managing things discreetly, without being directly involved in the action. In this context, ""behind the scenes"" is not meant to be taken literally, as it does not refer to a physical location, but rather to the person's role and level of involvement."
go to the wall," Output: i

The expression ""go to the wall"" is used figuratively in the sentence. It means to fail or go bankrupt, and it is often used to describe a business or organization that is struggling financially. In this sentence, the phrase is used to describe the increase in the number of businesses that have gone bankrupt or closed down, indicating the negative impact of the recession."
go to the wall," Output: i

The expression ""go to the wall"" is used figuratively in the sentence. It means that in a capitalist system, the weak or less competitive individuals or groups are likely to fail or be left behind, rather than being physically pushed against a wall. The phrase is used to describe the idea that the strong survive and thrive, while the weak struggle to keep up."
go to the wall," Output: i

The expression ""go to the wall"" is used figuratively in the sentence. It means to fail or go bankrupt, and it is not meant to be taken literally. The speaker is using it to describe the number of firms that have gone out of business, rather than the physical act of going to a wall."
