idiom,sentence
all hell broke loose,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'all hell broke loose'
 sentence: 'When the demons were unleashed from the underworld, all hell broke loose on Earth.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""all hell broke loose"" in the contextual sentence is meant to convey a figurative meaning, rather than a literal one. The phrase is often used to describe a chaotic or intense situation, where things are falling apart or getting out of control. In this sentence,"
all hell broke loose,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'all hell broke loose'
 sentence: 'After the sorcerer opened the forbidden book, all hell broke loose as literal demons poured into the world.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""all hell broke loose"" in the context of the sentence you provided is used figuratively to convey a sense of chaos, upheaval, and uncontrollable events. It is not meant to be taken literally, as in the literal sense of the phrase, """
all hell broke loose,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'all hell broke loose'
 sentence: 'The moment the evil queen shattered the ancient seal, all hell broke loose, with fiery creatures rampaging through the kingdom.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""all hell broke loose"" in the contextual sentence is used figuratively to convey a sense of chaos, upheaval, and destruction. It does not have a literal meaning, but rather a metaphorical one, suggesting that the events that unfolded were cat"
off the hook,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'off the hook'
 sentence: 'The fish wriggled and managed to get itself off the hook.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""off the hook"" in the context of the sentence ""The fish wriggled and managed to get itself off the hook"" is used figuratively to mean that the fish has been freed from a difficult or unpleasant situation. The word ""hook"" in this context"
off the hook,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'off the hook'
 sentence: 'She carefully took the ornament off the hook to avoid breaking it.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""off the hook"" in the contextual sentence has a figurative meaning. It means that She carefully took the ornament off the hook to avoid breaking it, indicating that the ornament was suspended or hanging from the hook, and she wanted to remove it gently"
off the hook,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'off the hook'
 sentence: 'The coat fell off the hook and onto the floor.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""off the hook"" in the context of the sentence ""The coat fell off the hook and onto the floor"" is used figuratively to mean that something is no longer in a state of suspension or restriction. In this case, the coat is no longer hanging on the"
against the grain,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'against the grain'
 sentence: 'Carpenters recommend not to sand against the grain as it can damage the wood.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""against the grain"" in the sentence ""Carpenters recommend not to sand against the grain as it can damage the wood"" holds a figurative meaning.

In this context, ""against the grain"" means against the natural or"
against the grain,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'against the grain'
 sentence: 'She sliced the loaf of bread against the grain, making the pieces uneven.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

In this context, the expression ""against the grain"" holds a figurative meaning. The phrase is often used to describe something that goes against the natural or expected direction or flow of something else. In this sentence, the speaker is using the phrase to convey that the bread was"
play with fire,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'play with fire'
 sentence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""play with fire"" in the contextual sentence is used figuratively to convey the idea of taking risks or engaging in dangerous activities without considering the consequences. It implies that the person is toying with the idea of danger, much like how one might play with fire without"
play with fire,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'play with fire'
 sentence: 'The children were strictly forbidden to play with fire while camping.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""play with fire"" in the contextual sentence is meant figuratively, not literally. It means that the children are being warned not to take unnecessary risks or engage in dangerous activities that could lead to harm. The phrase is often used to caution people against playing"
