Idiom,Sentence
all hell broke loose,i
all hell broke loose,i
all hell broke loose,i
off the hook,i
off the hook,i
off the hook,l
against the grain,i
against the grain,l
play with fire,i
play with fire,l
play with fire,'i'
make a killing,i
make a killing,i
make a killing,"The expression 'make a killing' is used in a **figurative** sense in the context provided. It means that Mr. Steinkühler made a large profit by buying shares of Mercedes Holding shortly before they were exchanged for shares in Daimler-Benz. Therefore, the output is:

i"
carry the can,i
carry the can,i
carry the can,"The expression 'carry the can' in the given context is figurative. It means taking the blame or responsibility for something, often something that isn't one's own fault.

Output: i"
in the doghouse,"The expression 'in the doghouse' in the provided context holds a figurative meaning. The phrase is used metaphorically to describe a stock that is currently unpopular or undervalued, not literally in a kennel. Therefore, the output is:

i"
in the doghouse,i
in the doghouse,"The expression 'in the doghouse' is typically used figuratively to mean that someone is in trouble or has fallen out of favor, often with a partner or superior. 

In the context given: 'That 's you in the doghouse now , .', the expression is likely being used figuratively to indicate that the person is in trouble or disfavored.

Therefore, the correct output is:
i"
behind the scenes,i
behind the scenes,l
behind the scenes,i
go to the wall,i
go to the wall,"The expression 'go to the wall' in the context 'The trades unionist suspects that in competitive capitalism the weak go to the wall .' holds a figurative meaning. Therefore, the output is 'i'."
go to the wall,i
see the light of day,"The expression 'see the light of day' in this context holds a figurative meaning, so the output is 'i'."
see the light of day,"The expression 'see the light of day' in the context 'Sadly, for it was a lively, largely autobiographical piece, it would never see the light of day' holds a figurative meaning. Therefore, the correct output is:

i"
under the weather,i
under the weather,"The expression 'under the weather' is used in a figurative sense to mean feeling unwell. Therefore, the output is:

i"
under the weather,"The expression 'under the weather' in this context is used in a figurative sense to mean that she wasn't feeling well or was ill. So, the appropriate output is:

```plaintext
i
```"
jump through hoops,i
jump through hoops,"The expression 'jump through hoops' is commonly used in a figurative sense to describe someone who goes through complex or challenging tasks or procedures to achieve something. Given the context ""Jumps through hoops ."", the lack of additional context makes it more likely to be interpreted in its most common form, which is figurative.

Therefore, the output is 'i'."
jump through hoops,i
on the horn,"The expression 'on the horn' in this context is used figuratively. Therefore, the output should be 'i'."
on the horn,"The expression ""on the horn"" in the context provided holds a figurative meaning, not a literal one. Here, ""on the horn"" is a slang term meaning to get someone on the telephone. Therefore, the correct output is 'i'."
to the bone,i
to the bone,i
push the envelope,'i'
push the envelope,i
look on the bright side,i
look on the bright side,i
up to here,"The expression 'up to here' in this context is being used figuratively to imply that there is an abundance or excess of woollies (warm clothing). It does not mean a literal level, but rather that they have a large quantity of woollies.

Thus, the output should be 'i'."
up to here,i
up to here,i
night and day,'l'
night and day,l
head for the hills,l
head for the hills,'i'
head for the hills,i
pass the buck,i
pass the buck,"Output: 'i'

The expression ""pass the buck"" is used figuratively in this context to mean that Martinho wanted to avoid responsibility and thus transferred it to someone else, referred to as ""yours truly"" (the speaker)."
rise from the ashes,I
rise from the ashes,i
rise from the ashes,i
meat and potatoes,i
meat and potatoes,i
meat and potatoes,i
in bed with,"The expression ""in bed with"" in the context ""Tom Rooney told me to beware of you, not to end up in bed with you."" holds a **figurative** meaning. It suggests being in a close, possibly compromising relationship or collaboration, rather than literally sharing a bed.

Therefore, the output is ""i""."
in bed with,"The expression 'in bed with' is used in a literal context here. The sentence is comparing the clerk's actual sexual performance with the miller's wife to that of the miller's recent performance.

Output: l"
in bed with,l
in the pink,"The expression 'in the pink' holds a figurative meaning. So, for the context 'In the Pink', the output would be:

```
i
```"
in the pink,"The expression 'in the pink of health' in this context holds *figurative* meaning because it is being used to describe the state of the Soviet economy rather than referring to the physical health of a person. The phrase is employed metaphorically to convey the idea that the economy is not in a good condition. 

Output: **i**"
in the pink,l
go to town,"The expression 'go to town' in the given context seems to hold a figurative meaning. Typically, 'go to town' used figuratively means to do something with a lot of energy, enthusiasm, or thoroughness. Here, the sentence does not literally suggest that someone is traveling to a town, but rather that they are putting a lot of effort or enthusiasm into some activity.

Output: 'i'"
