idiom,sentence
all hell broke loose,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'all hell broke loose'
 sentence: 'Then all hell broke loose .' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Great! I'm happy to help you with that.

Expression: 'all hell broke loose'
Sentence: 'Then all hell broke loose.'

Output: i (figurative)

The expression 'all hell broke loose' is a common idiom that means chaos, confusion, or a complete"
all hell broke loose,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'all hell broke loose'
 sentence: 'Not at all bad considering that all hell broke loose in September and the City was rocked by events outside its control .' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

The expression ""all hell broke loose"" is a figurative idiom that means a great deal of chaos, confusion, or upheaval has occurred. It is not meant to be taken literally, as hell is a metaphorical place and breaking loose is a figurative"
all hell broke loose,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'all hell broke loose'
 sentence: 'We knew the German signals for the night , so we tricked them into holding fire until we were about a mile out , then all hell broke loose .' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i"
off the hook,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'off the hook'
 sentence: 'The Spectator gets its readers off the hook by a return to Malthus , who made a virtue of not helping the poor , as then , he informed us , they would drag us down by overbreeding .' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i (figurative)

The expression ""get someone off the hook"" is a common idiom that means to exonerate or absolve someone of blame or responsibility. In this sentence, The Spectator is using the phrase to mean that the writer is no longer under obligation to help the poor, as"
off the hook,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'off the hook'
 sentence: 'He was off the hook .' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure! The expression ""off the hook"" is used figuratively, so I will generate ""output: i""."
off the hook,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'off the hook'
 sentence: 'I must have left it off the hook this morning .' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

Expression: 'off the hook'

Sentence: 'I must have left it off the hook this morning.'

Output: i (figurative)

The expression ""off the hook"" is commonly used figuratively to mean that something is forgiven or"
against the grain,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'against the grain'
 sentence: 'Out of duty she had caved in , but it still went against the grain .' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i"
against the grain,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'against the grain'
 sentence: 'Every erm pitchfork must come out one You ca n't start fighting and and pulling it against the grain otherwise you you would be in trouble .' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Great, I'm glad you're interested in learning more about idioms! The expression ""against the grain"" is a common idiom that can have both figurative and literal meanings, depending on the context in which it is used.

In this particular sentence, the expression ""against the gra"
play with fire,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'play with fire'
 sentence: 'The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves .' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Great, I'd be happy to help! The expression ""play with fire"" in the given sentence is used figuratively. Therefore, the output is:

Output: i"
play with fire,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'play with fire'
 sentence: 'The stunts became more daring and , in one episode , Crawford found himself literally playing with fire , when what looked like fireworks were attached to the back of his jacket and suddenly had to start exploding .' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I can help you with that!

The expression ""play with fire"" in the given sentence is used figuratively. Therefore, the output is:

Output: i"
play with fire,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'play with fire'
 sentence: 'Ladies and gentlemen , please ask the people in your constituencies whether they want us to play with fire in this way .' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i"
make a killing,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'make a killing'
 sentence: 'Gardening columns in the Sunday newspapers were full of it , magazines and television programmes gave advice and encouragement and the garden centres made a killing on weedkiller sales .' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure! The expression ""make a killing"" in the given sentence is used figuratively. Therefore, the output is:

Output: i"
make a killing,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'make a killing'
 sentence: 'One of the psychologists , who moved into the salesman 's world like witch doctors and made a killing , was Dr Ernest Dichter from Freud 's own city of Vienna , the ‘ father’ of Motivational Research , whose institute could be hired to help sell anything for $ 500 a day .' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

The expression ""make a killing"" in the given sentence is used figuratively. Therefore, the output is:

Output: i"
