idiom,sentence
all hell broke loose,"system

You are a native speaker of English.user

expression: 'all hell broke loose'
 sentence: 'Then all hell broke loose.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

Output: i

The expression ""all hell broke loose"" is a idiomatic phrase that means chaos or pandemonium broke out, not literally that hell, the underworld, broke loose. It is a figurative expression used to describe a sudden and intense commotion or uproar."
all hell broke loose,"system

You are a native speaker of English.user

expression: 'all hell broke loose'
 sentence: 'Not at all bad considering that all hell broke loose in September and the City was rocked by events outside its control.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

output: i

The expression ""all hell broke loose"" is a figurative idiom that means chaos or a complete breakdown of order or control. In the given sentence, it is describing the situation in the City that was affected by events outside its control, implying a state of turmoil or upheaval."
all hell broke loose,"system

You are a native speaker of English.user

expression: 'all hell broke loose'
 sentence: 'We knew the German signals for the night, so we tricked them into holding fire until we were about a mile out, then all hell broke loose.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

Output: i

The expression ""all hell broke loose"" is a idiomatic phrase that means chaos or complete disorder broke out. It is a figurative expression and does not literally mean that hell, a supernatural place of eternal suffering, broke loose. In this context, it is used to describe the intense and chaotic situation that occurred"
off the hook,"system

You are a native speaker of English.user

expression: 'off the hook'
 sentence: 'The Spectator gets its readers off the hook by a return to Malthus, who made a virtue of not helping the poor, as then, he informed us, they would drag us down by overbreeding.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

output: i

The expression ""off the hook"" in this sentence holds a figurative meaning. In this context, it means to exempt or excuse someone from responsibility or blame. The author is suggesting that The Spectator is providing a way out or an excuse for not helping the poor by citing Malthus' ideas, implying"
off the hook,"system

You are a native speaker of English.user

expression: 'off the hook'
 sentence: 'He was off the hook.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

output: i"
off the hook,"system

You are a native speaker of English.user

expression: 'off the hook'
 sentence: 'I must have left it off the hook this morning.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

output: l"
against the grain,"system

You are a native speaker of English.user

expression: 'against the grain'
 sentence: 'Out of duty she had caved in, but it still went against the grain.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

Output: i

The expression ""against the grain"" is a figurative idiom that means to go against one's natural inclination or to do something that feels uncomfortable or unnatural. In the given sentence, it implies that the person is doing something that goes against their personal values or instincts, even though they may be doing it out"
against the grain,"system

You are a native speaker of English.user

expression: 'against the grain'
 sentence: 'Every erm pitchfork must come out one You can't start fighting and and pulling it against the grain otherwise you you would be in trouble.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

Output: l

In this sentence, the expression ""against the grain"" holds a literal meaning. The speaker is advising someone to pull a pitchfork in the direction of the grain (i.e., the direction the prongs are pointing) when fighting or pulling, rather than against the direction of the grain, which would be difficult"
play with fire,"system

You are a native speaker of English.user

expression: 'play with fire'
 sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

output: i"
play with fire,"system

You are a native speaker of English.user

expression: 'play with fire'
 sentence: 'The stunts became more daring and, in one episode, Crawford found himself literally playing with fire, when what looked like fireworks were attached to the back of his jacket and suddenly had to start exploding.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

Output: l

The expression ""playing with fire"" is used literally in this sentence, as Crawford is literally attached to fireworks that are exploding. The phrase is not being used figuratively to describe a metaphorical risk or danger, but rather it is a literal description of the situation."
play with fire,"system

You are a native speaker of English.user

expression: 'play with fire'
 sentence: 'Ladies and gentlemen, please ask the people in your constituencies whether they want us to play with fire in this way.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

Output: i

In this sentence, the expression ""play with fire"" is used figuratively to mean taking a risk or engaging in a dangerous or reckless behavior. It is not meant to be taken literally, as it is unlikely that the speaker is suggesting that they are physically playing with actual fire. The phrase is used to convey"
make a killing,"system

You are a native speaker of English.user

expression:'make a killing'
 sentence: 'Gardening columns in the Sunday newspapers were full of it, magazines and television programmes gave advice and encouragement and the garden centres made a killing on weedkiller sales.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

output: i

The expression ""make a killing"" in this sentence holds a figurative meaning. It means that the garden centres profited a lot or made a large amount of money from selling weedkiller, rather than literally killing something."
make a killing,"system

You are a native speaker of English.user

expression:'make a killing'
 sentence: 'One of the psychologists, who moved into the salesman's world like witch doctors and made a killing, was Dr Ernest Dichter from Freud's own city of Vienna, the ‘ father’ of Motivational Research, whose institute could be hired to help sell anything for $ 500 a day.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

output: i

The expression ""make a killing"" in this sentence is figurative, meaning to be very successful or profitable. It is not meant to be taken literally, as it would be absurd to suggest that the psychologist, Dr. Ernest Dichter, actually killed someone."
make a killing,"system

You are a native speaker of English.user

expression:'make a killing'
 sentence: 'Mr Steinkühler, a member of Daimler - Benz's supervisory board, made a killing by buying shares of Mercedes Holding shortly before they were exchanged for shares in Daimler - Benz.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

output: i"
carry the can,"system

You are a native speaker of English.user

expression: 'carry the can'
 sentence: 'In Tory demonology they will always carry the can.’' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning.assistant

Output: i

In this sentence, the expression ""carry the can"" is used figuratively, meaning to take the blame or consequences for something. It is not meant to be taken literally, as it would be unusual to physically carry a can in this context."
