idiom,sentence
all hell broke loose,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'all hell broke loose'
 sentence: 'When the demons were unleashed from the underworld, all hell broke loose on Earth.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i"
all hell broke loose,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'all hell broke loose'
 sentence: 'After the sorcerer opened the forbidden book, all hell broke loose as literal demons poured into the world.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i"
all hell broke loose,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'all hell broke loose'
 sentence: 'The moment the evil queen shattered the ancient seal, all hell broke loose, with fiery creatures rampaging through the kingdom.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

The expression ""all hell broke loose"" in the sentence you provided is used figuratively. Therefore, the output is:

Output: i"
off the hook,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'off the hook'
 sentence: 'The fish wriggled and managed to get itself off the hook.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

The expression ""off the hook"" is used figuratively, so I will generate ""output: i""."
off the hook,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'off the hook'
 sentence: 'She carefully took the ornament off the hook to avoid breaking it.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i (figurative)

The expression ""off the hook"" is commonly used figuratively to mean ""free from responsibility or obligation."" In the sentence ""She carefully took the ornament off the hook to avoid breaking it,"" the word ""hook"" is used literally to refer to a physical hook, but the expression """
off the hook,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'off the hook'
 sentence: 'The coat fell off the hook and onto the floor.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

Expression: 'off the hook'

Sentence: The coat fell off the hook and onto the floor.

Is the expression figurative or literal?

Output: i (figurative)"
against the grain,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'against the grain'
 sentence: 'Carpenters recommend not to sand against the grain as it can damage the wood.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

The expression ""against the grain"" in the sentence ""Carpenters recommend not to sand against the grain as it can damage the wood"" is used figuratively.

Output: i"
against the grain,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'against the grain'
 sentence: 'She sliced the loaf of bread against the grain, making the pieces uneven.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i (figurative)

The expression ""against the grain"" is commonly used figuratively to describe something that goes against the natural or expected direction or flow. In the given sentence, ""She sliced the loaf of bread against the grain,"" the expression is used to describe the unevenness"
play with fire,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'play with fire'
 sentence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help! The expression ""play with fire"" is figurative.

Output: i"
play with fire,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'play with fire'
 sentence: 'The children were strictly forbidden to play with fire while camping.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

The expression ""play with fire"" is a common idiom that means to engage in risky or dangerous activities without considering the consequences. In this case, the sentence ""The children were strictly forbidden to play with fire while camping"" is using the expression figuratively.
"
play with fire,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'play with fire'
 sentence: 'As a fire performer, she had learned how to safely play with fire.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i"
make a killing,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'make a killing'
 sentence: 'The ruthless mob boss gave his henchman an order to make a killing to send a clear message to his rivals.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

The expression ""make a killing"" in the given sentence is used figuratively. Therefore, the output is:

Output: i"
make a killing,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'make a killing'
 sentence: 'In the wild, the lion had to make a killing to feed his family.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure! The expression ""make a killing"" is figurative. Here's my output:

Output: i"
make a killing,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'make a killing'
 sentence: 'The detective found evidence suggesting that the suspect planned to make a killing.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i"
carry the can,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'carry the can'
 sentence: 'John had to carry the can of paint up the ladder to finish the mural.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Great, I'm happy to help! The expression ""carry the can"" is a common idiom that has a literal meaning, but it can also be used figuratively in certain contexts.

In this case, the sentence ""John had to carry the can of paint up the ladder to finish the mural"" is"
carry the can,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'carry the can'
 sentence: 'While camping, she was assigned to carry the can of beans to the picnic table.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

The expression ""carry the can"" is a common idiom that means to bear the blame or responsibility for something. In this case, the sentence ""While camping, she was assigned to carry the can of beans to the picnic table"" is using the expression"
carry the can,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'carry the can'
 sentence: 'After the party, I had to carry the can of recycling out to the curb.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i

The expression ""carry the can"" is a figurative idiom that means to take responsibility or blame for something. In the given sentence, the speaker is not actually carrying a physical can, but rather taking responsibility for the recycling after the party."
in the doghouse,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'in the doghouse'
 sentence: 'The mischievous puppy was put back in the doghouse after tearing up the garden.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i"
in the doghouse,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'in the doghouse'
 sentence: 'When it started to rain heavily, the old retriever took shelter in the doghouse.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

Expression: 'in the doghouse'

Sentence: When it started to rain heavily, the old retriever took shelter in the doghouse.

Output: i (figurative)

In this case, the expression 'in the doghouse'"
in the doghouse,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'in the doghouse'
 sentence: 'She placed a new, soft blanket in the doghouse for her pet's comfort.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i"
behind the scenes,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'behind the scenes'
 sentence: 'During the theater tour, we were excited to step behind the scenes and see the actors preparing.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i"
behind the scenes,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'behind the scenes'
 sentence: 'The film crew was busy setting up props and lighting behind the scenes.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i

The expression ""behind the scenes"" in this sentence is used figuratively to refer to the work or activities that are happening outside of the main action or attention of the scene. It is not used to describe a physical location or space. Therefore, the answer is i (figurative)."
behind the scenes,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'behind the scenes'
 sentence: 'As a stagehand, John spent a lot of time working behind the scenes.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Output: i"
go to the wall,"[INST] <<SYS>>
You are a language expert.
<</SYS>>

expression: 'go to the wall'
 sentence: 'While playing hide and seek, the kids were told to close their eyes and go to the wall.' QUESTION: Is the expression figurative or literal? Generate 'output: i' if the idiom is used figuratively, or generate 'output: l' if the expression is used literally. Only generate the letter after 'output: '. [/INST]  Sure, I'd be happy to help!

The expression ""go to the wall"" in the given sentence is used figuratively. Therefore, the output is:

Output: i"
