idiom,sentence
all hell broke loose,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'all hell broke loose'
 sentence: 'When the demons were unleashed from the underworld, all hell broke loose on Earth.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""all hell broke loose"" in the contextual sentence is figurative, meaning that it is used to describe a chaotic and intense situation that is beyond control. The phrase is often used to convey a sense of pandemonium, upheaval, or turmo"
all hell broke loose,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'all hell broke loose'
 sentence: 'After the sorcerer opened the forbidden book, all hell broke loose as literal demons poured into the world.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""all hell broke loose"" in the contextual sentence is meant to be figurative rather than literal. It is used to describe a chaotic and intense situation, where something unexpected and disruptive has occurred. The use of the word ""literal"" in this context"
all hell broke loose,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'all hell broke loose'
 sentence: 'The moment the evil queen shattered the ancient seal, all hell broke loose, with fiery creatures rampaging through the kingdom.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""all hell broke loose"" in the contextual sentence is used figuratively to convey a sense of chaos, upheaval, and destruction. It implies that the events that unfolded after the evil queen shattered the ancient seal were catastrophic and un"
off the hook,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'off the hook'
 sentence: 'The fish wriggled and managed to get itself off the hook.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""off the hook"" in the contextual sentence ""The fish wriggled and managed to get itself off the hook"" is figurative. It means that the fish was able to escape or free itself from a difficult or unpleasant situation, much like when someone is """
off the hook,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'off the hook'
 sentence: 'She carefully took the ornament off the hook to avoid breaking it.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""off the hook"" in the context of the sentence ""She carefully took the ornament off the hook to avoid breaking it"" is used figuratively to mean ""free from responsibility or obligation."" In this context, the speaker is not physically removing the ornament from a"
off the hook,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'off the hook'
 sentence: 'The coat fell off the hook and onto the floor.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Sure, I'd be happy to help!

In this context, the expression ""off the hook"" holds a figurative meaning.

Output: i (figurative meaning)

The phrase ""off the hook"" is often used idiomatically to mean ""free from responsibility or obligation."" In this sentence,"
against the grain,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'against the grain'
 sentence: 'Carpenters recommend not to sand against the grain as it can damage the wood.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""against the grain"" in the context of the sentence ""Carpenters recommend not to sand against the grain as it can damage the wood"" holds a figurative meaning.

In this context, ""against the grain"" means against"
against the grain,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'against the grain'
 sentence: 'She sliced the loaf of bread against the grain, making the pieces uneven.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""against the grain"" in the context of slicing bread holds a figurative meaning. It means to do something that goes against the natural or usual way of doing something. In this case, slicing the bread ""against the grain"""
play with fire,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'play with fire'
 sentence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""play with fire"" in the contextual sentence is meant to convey a figurative meaning. When someone ""plays with fire,"" it means they are taking risks or engaging in dangerous activities without considering the potential consequences. In this case, the character is poking the em"
play with fire,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'play with fire'
 sentence: 'The children were strictly forbidden to play with fire while camping.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""play with fire"" in the contextual sentence is figurative, meaning that it is used to convey the idea of taking risks or engaging in dangerous activities without considering the consequences. The phrase is often used to warn someone against engaging in reckless or risky behavior"
play with fire,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'play with fire'
 sentence: 'As a fire performer, she had learned how to safely play with fire.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""play with fire"" in the context of the sentence ""As a fire performer, she had learned how to safely play with fire"" is a figurative expression. It means that the person is handling something dangerous or potentially risky, but with skill and control. The phrase"
make a killing,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'make a killing'
 sentence: 'The ruthless mob boss gave his henchman an order to make a killing to send a clear message to his rivals.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Sure! In the context of the sentence you provided, the expression ""make a killing"" holds a figurative meaning.

Output: i (figurative meaning)

The phrase ""make a killing"" is often used idiomatically to mean causing harm or inflicting damage on someone or something. In this sentence, the"
make a killing,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'make a killing'
 sentence: 'In the wild, the lion had to make a killing to feed his family.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""make a killing"" in the contextual sentence ""In the wild, the lion had to make a killing to feed his family"" holds a figurative meaning. The phrase ""make a killing"" means to earn a large amount of money, often illegally or"
make a killing,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'make a killing'
 sentence: 'The detective found evidence suggesting that the suspect planned to make a killing.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Sure, I'd be happy to help!

In the context of the sentence ""The detective found evidence suggesting that the suspect planned to make a killing,"" the expression ""make a killing"" holds a figurative meaning.

Output: i (figurative meaning)

In this context, ""make a killing"""
carry the can,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'carry the can'
 sentence: 'John had to carry the can of paint up the ladder to finish the mural.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""carry the can"" in the sentence ""John had to carry the can of paint up the ladder to finish the mural"" is used figuratively to convey the idea of taking responsibility or blame for something. In this context, ""carry the can"" means"
carry the can,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'carry the can'
 sentence: 'While camping, she was assigned to carry the can of beans to the picnic table.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""carry the can"" in the sentence ""While camping, she was assigned to carry the can of beans to the picnic table"" is a figurative expression, meaning that the person is taking responsibility or blame for something.

In this context,"
carry the can,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'carry the can'
 sentence: 'After the party, I had to carry the can of recycling out to the curb.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""carry the can"" in the contextual sentence has a figurative meaning. It means to take responsibility or blame for something. In this sentence, the speaker is not actually carrying a physical can of recycling, but rather taking ownership of the task of disposing"
in the doghouse,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'in the doghouse'
 sentence: 'The mischievous puppy was put back in the doghouse after tearing up the garden.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""in the doghouse"" is a common idiom that means to be in trouble or disfavor, often due to misbehavior or wrongdoing. In the context of the sentence, ""The mischievous puppy was put back in the doghouse after"
in the doghouse,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'in the doghouse'
 sentence: 'When it started to rain heavily, the old retriever took shelter in the doghouse.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""in the doghouse"" is a common idiomatic phrase that means to be in trouble or disfavor, often due to something one has done wrong. In this context, the doghouse is not a physical structure where a dog would seek shelter from the rain, but"
in the doghouse,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'in the doghouse'
 sentence: 'She placed a new, soft blanket in the doghouse for her pet's comfort.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""in the doghouse"" in the context of the sentence ""She placed a new, soft blanket in the doghouse for her pet's comfort"" is figurative. The phrase is often used to describe a person being in trouble or disfavor with someone, similar"
behind the scenes,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'behind the scenes'
 sentence: 'During the theater tour, we were excited to step behind the scenes and see the actors preparing.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Sure! In the context of the sentence ""During the theater tour, we were excited to step behind the scenes and see the actors preparing,"" the expression ""behind the scenes"" holds a figurative meaning.

Output: i (figurative meaning)

In this context, ""behind the scenes"" refers"
behind the scenes,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'behind the scenes'
 sentence: 'The film crew was busy setting up props and lighting behind the scenes.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i

The expression ""behind the scenes"" in this context holds a figurative meaning. It means that the film crew is working on the parts of the production that are not visible or audible to the audience, such as setting up props and lighting, rather than the actual filming or performance. It implies that the"
behind the scenes,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'behind the scenes'
 sentence: 'As a stagehand, John spent a lot of time working behind the scenes.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""behind the scenes"" in the contextual sentence ""As a stagehand, John spent a lot of time working behind the scenes"" holds a figurative meaning. It implies that John was working in a supporting role, away from the main audience and the spotlight, but"
go to the wall,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'go to the wall'
 sentence: 'While playing hide and seek, the kids were told to close their eyes and go to the wall.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

In this context, the expression ""go to the wall"" is being used figuratively to mean ""to hide or conceal oneself"". The sentence ""While playing hide and seek, the kids were told to close their eyes and go to the wall"" implies that the kids"
go to the wall,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'go to the wall'
 sentence: 'The instructor asked the yoga class to go to the wall for wall-supported poses.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

In this context, the expression ""go to the wall"" is being used figuratively to mean ""to reach a dead end"" or ""to be in a difficult or challenging situation."" The instructor is asking the yoga class to go to the wall, which is a physical bar"
go to the wall,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'go to the wall'
 sentence: 'The artist decided to go to the wall to add some final touches to the mural.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Sure, I'd be happy to help!

In the context of the sentence ""The artist decided to go to the wall to add some final touches to the mural,"" the expression ""go to the wall"" holds a figurative meaning.

Output: i (figurative meaning)

In this context,"
see the light of day,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'see the light of day'
 sentence: 'After months of being bedridden, he was overjoyed to finally see the light of day again.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""see the light of day"" in the contextual sentence has a figurative meaning. It means that the person was able to experience the world outside of their bedroom or their confined space, and it symbolizes a sense of freedom and liberation. The light of day"
see the light of day,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'see the light of day'
 sentence: 'The miners trapped underground for three long days were immensely relieved to see the light of day after their rescue.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""see the light of day"" in the contextual sentence carries a figurative meaning. It means that the miners were able to escape their difficult and dangerous situation and experience freedom and relief, like a ray of light illuminating their way. The light of day represents"
under the weather,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'under the weather'
 sentence: 'The picnic had to be postponed because it literally took place under the weather, which was quite stormy that day.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""under the weather"" in the contextual sentence is used figuratively to describe the unpleasant weather conditions. The phrase is often used to refer to a person's mood or state of mind, rather than their actual location. In this case, the speaker is using"
under the weather,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'under the weather'
 sentence: 'The campers had to quickly set up their tents, finding themselves unexpectedly under the weather, as it started raining heavily.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

In this context, the expression ""under the weather"" is used figuratively to describe the campers' situation. It implies that they are not feeling well or comfortable, but not necessarily in a physical sense. The use of the word ""heavily"" also suggests that the rain is"
under the weather,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'under the weather'
 sentence: 'The hikers had to seek shelter under a large tree, as they found themselves under the weather when a sudden hailstorm hit.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""under the weather"" in the contextual sentence is used figuratively to describe the hikers' situation. It implies that they are not feeling well or in good condition, rather than referring to their physical location. The use of ""under"" in this context is metap"
jump through hoops,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'jump through hoops'
 sentence: 'The circus dog was trained to jump through hoops during the performance.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Sure! In the context of the sentence ""The circus dog was trained to jump through hoops during the performance,"" the expression ""jump through hoops"" holds a figurative meaning.

Output: i (figurative meaning)

The phrase ""jump through hoops"" is often used metaphorically to"
jump through hoops,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'jump through hoops'
 sentence: 'The gymnast had to jump through hoops as part of her routine.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Sure, I'd be happy to help!

In the context of the sentence ""The gymnast had to jump through hoops as part of her routine,"" the expression ""jump through hoops"" holds a figurative meaning.

Output: i (figurative meaning)"
jump through hoops,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'jump through hoops'
 sentence: 'The children love to play a game where they jump through hoops in the backyard.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""jump through hoops"" in the context of the sentence ""The children love to play a game where they jump through hoops in the backyard"" is primarily figurative. It means that the children are going through a series of challenges or obstacles in order to"
on the horn,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'on the horn'
 sentence: 'She delicately hung the Christmas ornament on the horn of the reindeer sculpture.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""on the horn"" in the context of the sentence ""She delicately hung the Christmas ornament on the horn of the reindeer sculpture"" is a figurative expression. The word ""horn"" in this context refers to the antlers of a reindeer"
on the horn,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'on the horn'
 sentence: 'The little boy was delighted when his dad lifted him to sit on the horn of the saddle.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""on the horn"" in this context is figurative, as it is used to describe the little boy sitting on the front of the saddle, rather than on the actual horn of a vehicle. The phrase is often used to describe a position of prominence or excitement,"
to the bone,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'to the bone'
 sentence: 'After the accident, the surgeon had to repair the damage to the bone.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""to the bone"" in the contextual sentence has a figurative meaning. It implies that the damage to the bone is so severe that it goes to the very core or essence of the bone itself. It is not just a superficial injury, but"
to the bone,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'to the bone'
 sentence: 'The dog happily gnawed on the steak bone until it was clean to the bone.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""to the bone"" in the contextual sentence has a figurative meaning. It means that the dog gnawed on the steak bone until it was completely consumed, leaving nothing left but the bare bone. The phrase is often used to describe something that"
push the envelope,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'push the envelope'
 sentence: 'During the art project, the teacher instructed the kids to literally push the envelope across the table to their classmates.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""push the envelope"" in the contextual sentence is meant to be figurative, rather than literal. The phrase is often used to describe taking risks, challenging the status quo, or going beyond what is considered acceptable or conventional. In this case, the teacher"
push the envelope,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'push the envelope'
 sentence: 'In the mail sorting facility, the workers were asked to push the envelope towards the conveyor belt.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""push the envelope"" in the contextual sentence is used figuratively to mean ""go beyond the limits"" or ""take risks."" The workers are being asked to go beyond their usual tasks and push the boundaries of their work by feeding the mail into the conveyor"
look on the bright side,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'look on the bright side'
 sentence: 'During the blackout, they had to look on the bright side of the street to avoid stumbling on the pavement.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""look on the bright side"" in the contextual sentence is meant to be figurative, rather than literal. The speaker is encouraging the listener to focus on the positive aspects of the situation, rather than dwelling on the negative. In this case, the blackout may"
look on the bright side,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'look on the bright side'
 sentence: 'To take a better photograph, the photographer decided to look on the bright side of the landscape.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""look on the bright side"" in the contextual sentence is used figuratively to mean finding a positive perspective or outlook, rather than a literal interpretation of looking at the bright side of something. The photographer is not actually looking at the bright side of the landscape, but"
up to here,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'up to here'
 sentence: 'The water in the bathtub was filled up to here.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Sure! In the contextual sentence ""The water in the bathtub was filled up to here,"" the expression ""up to here"" holds a literal meaning.

Output: l

In this sentence, ""up to here"" refers to the physical level of the water in the bathtub, indicating how full it is."
up to here,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'up to here'
 sentence: 'She stacked the books up to here on the shelf.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Sure! In the context of the sentence ""She stacked the books up to here on the shelf,"" the expression ""up to here"" holds a literal meaning.

Output: L (Literal)

In this sentence, ""up to here"" refers to the top of the shelf, indicating the point at which the"
up to here,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'up to here'
 sentence: 'The graph shows that the prices have risen up to here.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""up to here"" in the sentence ""The graph shows that the prices have risen up to here"" is used figuratively to convey a sense of frustration or annoyance. It suggests that the speaker has had enough of something and is reaching their limit. The phrase"
night and day,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'night and day'
 sentence: 'The stars shine bright during the night and day.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""night and day"" is often used figuratively to mean ""constantly"" or ""always"". In the context of the sentence ""The stars shine bright during the night and day"", it implies that the stars are visible and shining continuously, both during the nighttime"
night and day,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'night and day'
 sentence: 'She studied night and day to prepare for her exams.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Sure! In the context of the sentence ""She studied night and day to prepare for her exams,"" the expression ""night and day"" holds a figurative meaning.

Output: i (figurative meaning)

The expression ""night and day"" is often used to convey the idea of constant effort or hard work over a"
head for the hills,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'head for the hills'
 sentence: 'When we saw the wildfire in the distance, we knew we had to head for the hills.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""head for the hills"" in the contextual sentence ""When we saw the wildfire in the distance, we knew we had to head for the hills"" holds a figurative meaning. It means to escape or run away from a dangerous or threatening situation, such as a"
head for the hills,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'head for the hills'
 sentence: 'As soon as they reached the edge of the forest, they decided to head for the hills to find a safe place to camp.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""head for the hills"" in the contextual sentence is figurative, meaning that the couple is seeking a safe and remote location to camp, away from the danger or problem they are facing. The phrase is often used metaphorically to describe a hasty or urgent"
head for the hills,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'head for the hills'
 sentence: 'Tired and thirsty from their journey, the explorers were relieved to finally head for the hills where they believed water sources were plentiful.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

The expression ""head for the hills"" in the contextual sentence is used figuratively to mean ""seek refuge or safety"" rather than a literal direction to move towards a specific location. The explorers are not actually heading towards a physical location called ""the hills,"" but rather seeking"
pass the buck,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'pass the buck'
 sentence: 'During the charity event, they created a unique activity called 'pass the buck' where participants had to pass a dollar bill around.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

In this context, the expression ""pass the buck"" holds a figurative meaning. The phrase is often used idiomatically to describe the act of delegating responsibility or blame to someone else, rather than taking ownership or responsibility for a task or problem. In the sentence, the"
pass the buck,"[INST] <<SYS>>
You are a native speaker of English.
<</SYS>>

expression: 'pass the buck'
 sentence: 'In the children's party, one of the fun games was 'pass the buck' where kids had to pass a toy buck from one to another in a race against time.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate 'output: i' for figurative meaning, or 'output: l' for literal meaning. [/INST]  Output: i (figurative meaning)

In this context, the expression ""pass the buck"" holds a figurative meaning. The phrase is often used idiomatically to describe the act of avoiding responsibility or passing a task or problem to someone else, often by transferring it to someone else without actually giving it to them"
