idiom,sentence
all hell broke loose,'l'
all hell broke loose,l
all hell broke loose,i
off the hook,'l'
off the hook,'l'
off the hook,'l'
against the grain,"The expression 'against the grain' is used literally in the sentence: 'Carpenters recommend not to sand against the grain as it can damage the wood.'. 

Answer: 'l'"
against the grain,'l'
play with fire,'l'
play with fire,'l'
play with fire,"The expression 'play with fire' is used literally in the sentence: 'As a fire performer, she had learned how to safely play with fire.'. 
Answer: 'l'"
make a killing,'l'
make a killing,'l'
make a killing,"The expression 'make a killing' is used literally in the sentence: 'The detective found evidence suggesting that the suspect planned to make a killing.'. 

Answer: 'l'"
carry the can,'l'
carry the can,'l'
carry the can,'l'
in the doghouse,'l'
in the doghouse,"The expression 'in the doghouse' is used **literally** in the sentence: 'When it started to rain heavily, the old retriever took shelter in the doghouse.'. 

Answer: 'l'"
in the doghouse,'l'
behind the scenes,'l'
behind the scenes,The expression 'behind the scenes' is used literally in the sentence: 'The film crew was busy setting up props and lighting behind the scenes.'. Answer: 'l'.
behind the scenes,'l'
go to the wall,'l'
go to the wall,'l'
go to the wall,"The expression 'go to the wall' is used *literally* in the sentence: 'The artist decided to go to the wall to add some final touches to the mural.' 

Answer: 'l'"
see the light of day,'l'
see the light of day,'l'
under the weather,'l'
under the weather,'l'
under the weather,'l'
jump through hoops,'l'
jump through hoops,'l'
jump through hoops,l
on the horn,'l'
on the horn,'l'
to the bone,'l'
to the bone,'l'
push the envelope,'l'
push the envelope,'l'
look on the bright side,'l'
look on the bright side,'l'
up to here,"The expression 'up to here' is used literally in the sentence: 'The water in the bathtub was filled up to here.'.

Answer: 'l'"
up to here,'l'
up to here,‘l’
night and day,'l'
night and day,i
head for the hills,'l'
head for the hills,'l'
head for the hills,'l'
pass the buck,'l'
pass the buck,'l'
rise from the ashes,"The expression 'rise from the ashes' is used literally in the sentence: 'After the forest fire, new sprouts started to rise from the ashes, signaling the rebirth of nature.'.

Answer: 'l'"
rise from the ashes,"The expression 'rise from the ashes' is used figuratively in the sentence: 'Documenting the volcanic eruption, scientists examined how life could rise from the ashes in such a hostile environment.'. The phrase here metaphorically suggests how life can re-emerge or recover after destruction or devastation."
rise from the ashes,'l'
meat and potatoes,"The expression 'meat and potatoes' is used literally in the sentence: 'For dinner, we had a hearty meal of meat and potatoes.'. Therefore, the answer is 'l'."
meat and potatoes,'l'
meat and potatoes,'l'
in bed with,'l'
in bed with,'l'
in bed with,'l'
in the pink,'l'
in the pink,'l'
in the pink,"The expression 'in the pink' is used literally in the sentence: 'In the pink light of dawn, the world took on a magical hue.'.
Answer: 'l'."
go to town,'l'
go to town,'l'
go to town,'l'
heart of gold,'l'
heart of gold,'l'
heart of gold,'l'
par for the course,'l'
par for the course,'l'
par for the course,'l'
out of line,'l'
out of line,'l'
out of line,'l'
stay the course,'l'
stay the course,'l'
stay the course,'l'
smoke and mirrors,'l' for literal
smoke and mirrors,'l'
get to the bottom of,'l'
get to the bottom of,'l'
get to the bottom of,'l'
by the book,'l'
by the book,'l'
in your face,'l'
in your face,'l'
in your face,'l'
in the black,'l'
in the black,'l'
in the black,'l'
hit the nail on the head,'l'
hit the nail on the head,'l'
in the driving seat,'l'
in the driving seat,'l'
in the driving seat,'l'
join the club,'l'
join the club,'l'
join the club,‘l’ for literal.
walk the plank,'l'
walk the plank,'l'
eat humble pie,'l'
eat humble pie,'l'
eat humble pie,'l'
up the river,'l'
up the river,"The expression 'up the river' is used literally in the sentence: 'She pointed up the river, where the two banks converged into the horizon.'. 

Answer: literal."
up the river,'l'
circle the wagons,"The expression 'circle the wagons' is used literally in the sentence: 'During their journey across the prairie, the settlers would circle the wagons every night to create a makeshift fort.'. Answer: 'l'."
look the part,'l'
look the part,The expression 'look the part' is used figuratively in the sentence: 'The undercover agent managed to look the part of a notorious gangster by wearing a convincing disguise.'. (Answer: 'i')
look the part,"The expression 'look the part' is used figuratively in the sentence: 'With her new professional attire and confident demeanor, she was beginning to look the part of a successful businesswoman.'. 

The answer is: 'i'."
moment of truth,"The expression 'moment of truth' is used figuratively in the sentence: 'When the detective confronted the suspect with the evidence, it was a moment of truth.'. 

Answer: i"
all bets are off,'i'
all bets are off,'l'
knock someone's socks off,'l'
on the side of the angels,'l'
on the side of the angels,'l'
on the side of the angels,'l'
jump on the bandwagon,"The expression 'jump on the bandwagon' is used **literally** in the sentence: 'When the circus came to town, all the children wanted to jump on the bandwagon.'. The word 'jump' describes the children's desire to physically get on the literal bandwagon associated with the circus. Therefore, the correct answer is **'l'**."
jump on the bandwagon,"The expression 'jump on the bandwagon' is used literally in the sentence: 'She was so excited about the parade that she couldn't resist the urge to jump on the bandwagon.'. Therefore, the answer is 'l'."
jump on the bandwagon,'l'
turn the other cheek,'l'
raise the roof,'l'
raise the roof,'l'
raise the roof,'l'
do the right thing,'i'
do the right thing,i
do the right thing,'i'
on the square,'l'
on the square,'l'
on the square,'l'
pick up the pieces,"The expression 'pick up the pieces' is used literally in the sentence: 'After the plate fell and shattered, I had to carefully pick up the pieces.'. So the answer is 'l'."
pick up the pieces,'l'
pick up the pieces,'l'
touch and go,'l'
off and running,'l'
off and running,'l'
off and running,'l'
horses for courses,'l'
horses for courses,'l'
horses for courses,'l'
wipe the slate clean,'l'
wipe the slate clean,'l'
wipe the slate clean,'i'
hit the jackpot,'l'
hit the jackpot,'l'
hit the jackpot,"The expression 'hit the jackpot' is used literally in the sentence: 'After hours at the casino, he finally hit the jackpot and the room lit up with sirens and lights.'. Therefore, the answer is 'l'."
round the bend,'l'
round the bend,'l'
round the bend,'l'
go for the jugular,'l'
go for the jugular,'l'
go for the jugular,'l'
