idiom,sentence
all hell broke loose,i
all hell broke loose,i
all hell broke loose,i
off the hook,i
off the hook,i
off the hook,l
against the grain,i
against the grain,l
play with fire,i
play with fire,l
play with fire,i
make a killing,i
make a killing,i
make a killing,i
carry the can,i
carry the can,i
carry the can,i
in the doghouse,i
in the doghouse,"The expression 'in the doghouse' is used figuratively in the sentence: '‘ Who 's in the doghouse , then?’ asked Zach .' → Output: i"
in the doghouse,i
behind the scenes,i
behind the scenes,l
behind the scenes,i
go to the wall,i
go to the wall,i
go to the wall,i
see the light of day,i
see the light of day,i
under the weather,i
under the weather,i
under the weather,i
jump through hoops,i
jump through hoops,i
jump through hoops,i
on the horn,i
on the horn,i
to the bone,i
to the bone,i
push the envelope,i
push the envelope,i
look on the bright side,i
look on the bright side,i
up to here,i
up to here,i
up to here,i
night and day,l
night and day,l
head for the hills,l
head for the hills,i
head for the hills,i
pass the buck,i
pass the buck,i
rise from the ashes,l
rise from the ashes,l
rise from the ashes,i
meat and potatoes,i
meat and potatoes,l
meat and potatoes,i
in bed with,i
in bed with,l
in bed with,l
in the pink,"To determine how the expression 'in the pink' is used in a given context, we first need to understand the meaning of the expression. 'In the pink' is an idiomatic expression that means being in good health or in excellent condition. When the expression is used with this meaning, it holds figurative meaning. 

- If the expression is used to refer to something actually being pink in color or relates to something literal, then it holds a literal meaning.

Please provide the specific sentence or context in which 'in the pink' is used, and I can determine whether the expression holds figurative or literal meaning."
in the pink,i
in the pink,l
go to town,"Based on the context provided, the expression 'go to town' is likely used figuratively. So, the output is:

i"
go to town,l
go to town,i
heart of gold,i
heart of gold,i
heart of gold,i
par for the course,i
par for the course,i
par for the course,"The expression 'par for the course' is used figuratively in the context: 'Possibly par for the course in television write - offs , but possibly not .' → Output: i"
out of line,l
out of line,"The expression 'out of line' in the sentence 'Way out of line , I do n't know where you work that one out !' is used figuratively. Therefore, the output is: i"
out of line,i
stay the course,l
stay the course,i
stay the course,i
smoke and mirrors,i
smoke and mirrors,i
get to the bottom of,i
get to the bottom of,i
get to the bottom of,i
by the book,i
by the book,i
in your face,i
in your face,i
in your face,i
in the black,i
in the black,i
in the black,i
hit the nail on the head,i
hit the nail on the head,i
in the driving seat,i
in the driving seat,i
in the driving seat,i
join the club,l
join the club,i
join the club,l
walk the plank,i
walk the plank,i
eat humble pie,i
eat humble pie,i
eat humble pie,i
up the river,i
up the river,i
up the river,l
circle the wagons,"To determine if the expression ""circle the wagons"" is used figuratively or literally, you would look for context clues about the usage in the text. If it's about physical wagons being arranged in a circle for defense, it's literal. If it refers to a group coming together to protect their interests against criticism or opposition, it's figurative.

However, without a specific example sentence, I can only give the general guidance above. If you provide an example sentence, I can analyze and determine the intended meaning."
look the part,i
look the part,i
look the part,i
moment of truth,i
all bets are off,i
all bets are off,i
knock someone's socks off,i
on the side of the angels,i
on the side of the angels,i
on the side of the angels,i
jump on the bandwagon,i
jump on the bandwagon,i
jump on the bandwagon,i
turn the other cheek,i
raise the roof,i
raise the roof,i
raise the roof,i
do the right thing,i
do the right thing,i
do the right thing,i
on the square,i
on the square,i
on the square,l
pick up the pieces,i
pick up the pieces,l
pick up the pieces,i
touch and go,i
off and running,i
off and running,i
off and running,i
horses for courses,i
horses for courses,i
horses for courses,The expression 'horses for courses' is used figuratively in the context. Output: i
wipe the slate clean,i
wipe the slate clean,i
wipe the slate clean,i
hit the jackpot,i
hit the jackpot,i
hit the jackpot,i
round the bend,i
round the bend,i
round the bend,l
go for the jugular,i
go for the jugular,i
go for the jugular,i
nip and tuck,i
nip and tuck,i
nip and tuck,i
throw the baby out with the bathwater,i
throw the baby out with the bathwater,i
out of order,i
out of order,i
out of order,i
muddy the waters,i
muddy the waters,i
muddy the waters,i
move the goalposts,i
