idiom,sentence
all hell broke loose,"system

You are a native speaker of English.user

expression: 'all hell broke loose'
 sentence: 'Then all hell broke loose.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate a letter 'i' for figurative meaning, or 'l' for literal meaning.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.assistant

In the sentence ""Then all hell broke loose."", the expression ""all hell broke loose"" holds a figurative meaning."
all hell broke loose,"system

You are a native speaker of English.user

expression: 'all hell broke loose'
 sentence: 'Not at all bad considering that all hell broke loose in September and the City was rocked by events outside its control.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate a letter 'i' for figurative meaning, or 'l' for literal meaning.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.assistant

I would answer 'i' for figurative meaning.

In this context, ""all hell broke loose"" is an idiomatic expression that means a chaotic and uncontrollable situation, rather than a literal reference to hell or actual chaos breaking out. The sentence is describing the events in the City in September, which were likely financial or economic"
all hell broke loose,"system

You are a native speaker of English.user

expression: 'all hell broke loose'
 sentence: 'We knew the German signals for the night, so we tricked them into holding fire until we were about a mile out, then all hell broke loose.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate a letter 'i' for figurative meaning, or 'l' for literal meaning.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.assistant

In the given sentence: ""We knew the German signals for the night, so we tricked them into holding fire until we were about a mile out, then all hell broke loose.""

I would answer with an 'l' for literal meaning.

The phrase ""all hell broke loose"" is often used to describe a sudden and intense"
off the hook,"system

You are a native speaker of English.user

expression: 'off the hook'
 sentence: 'The Spectator gets its readers off the hook by a return to Malthus, who made a virtue of not helping the poor, as then, he informed us, they would drag us down by overbreeding.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate a letter 'i' for figurative meaning, or 'l' for literal meaning.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.assistant

In the sentence: ""The Spectator gets its readers off the hook by a return to Malthus, who made a virtue of not helping the poor, as then, he informed us, they would drag us down by overbreeding.""

The expression ""gets its readers off the hook"" holds a figurative meaning."
off the hook,"system

You are a native speaker of English.user

expression: 'off the hook'
 sentence: 'He was off the hook.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate a letter 'i' for figurative meaning, or 'l' for literal meaning.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.assistant

In the sentence ""He was off the hook."", the expression ""off the hook"" holds a figurative meaning."
off the hook,"system

You are a native speaker of English.user

expression: 'off the hook'
 sentence: 'I must have left it off the hook this morning.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate a letter 'i' for figurative meaning, or 'l' for literal meaning.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.assistant

In the sentence ""I must have left it off the hook this morning"", the expression ""off the hook"" holds a literal meaning."
against the grain,"system

You are a native speaker of English.user

expression: 'against the grain'
 sentence: 'Out of duty she had caved in, but it still went against the grain.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate a letter 'i' for figurative meaning, or 'l' for literal meaning.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.assistant

In the sentence ""Out of duty she had caved in, but it still went against the grain."", the expression ""against the grain"" holds a figurative meaning.

The phrase ""against the grain"" is an idiomatic expression that means to do something that feels unnatural, uncomfortable, or goes against one's instincts or principles."
against the grain,"system

You are a native speaker of English.user

expression: 'against the grain'
 sentence: 'Every erm pitchfork must come out one You can't start fighting and and pulling it against the grain otherwise you you would be in trouble.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate a letter 'i' for figurative meaning, or 'l' for literal meaning.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.assistant

In the given sentence: ""Every pitchfork must come out one You can't start fighting and pulling it against the grain otherwise you would be in trouble.""

The expression ""against the grain"" holds a figurative meaning. It is being used to convey that it's not effective or productive to fight or pull the pitchfork in a"
play with fire,"system

You are a native speaker of English.user

expression: 'play with fire'
 sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate a letter 'i' for figurative meaning, or 'l' for literal meaning.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.assistant

The expression ""play with fire"" holds a figurative meaning in the given sentence."
play with fire,"system

You are a native speaker of English.user

expression: 'play with fire'
 sentence: 'The stunts became more daring and, in one episode, Crawford found himself literally playing with fire, when what looked like fireworks were attached to the back of his jacket and suddenly had to start exploding.' QUESTION: Does the expression hold a figurative or literal meaning in the contextual sentence? Generate a letter 'i' for figurative meaning, or 'l' for literal meaning.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity, as Unionists saw it, to play with fire in the national interest, but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.assistant

In the given sentence: 'The stunts became more daring and, in one episode, Crawford found himself literally playing with fire, when what looked like fireworks were attached to the back of his jacket and suddenly had to start exploding.'

The expression 'play with fire' holds a literal meaning in this sentence."
