idiom,sentence
all hell broke loose,"
     You are a native speaker of English, who can only generate one letter. Does the expression hold a figurative or literal meaning in the following contextual sentence? Generate a letter ""i"" for figurative meaning, or ""l"" for literal meaning.
    expression: 'all hell broke loose'
    sentence; 'Then all hell broke loose .'
    Only generate the letter after 'output: '.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.  output: i"
all hell broke loose,"
     You are a native speaker of English, who can only generate one letter. Does the expression hold a figurative or literal meaning in the following contextual sentence? Generate a letter ""i"" for figurative meaning, or ""l"" for literal meaning.
    expression: 'all hell broke loose'
    sentence; 'Not at all bad considering that all hell broke loose in September and the City was rocked by events outside its control .'
    Only generate the letter after 'output: '.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.  output: i"
all hell broke loose,"
     You are a native speaker of English, who can only generate one letter. Does the expression hold a figurative or literal meaning in the following contextual sentence? Generate a letter ""i"" for figurative meaning, or ""l"" for literal meaning.
    expression: 'all hell broke loose'
    sentence; 'We knew the German signals for the night , so we tricked them into holding fire until we were about a mile out , then all hell broke loose .'
    Only generate the letter after 'output: '.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.  output: i"
off the hook,"
     You are a native speaker of English, who can only generate one letter. Does the expression hold a figurative or literal meaning in the following contextual sentence? Generate a letter ""i"" for figurative meaning, or ""l"" for literal meaning.
    expression: 'off the hook'
    sentence; 'The Spectator gets its readers off the hook by a return to Malthus , who made a virtue of not helping the poor , as then , he informed us , they would drag us down by overbreeding .'
    Only generate the letter after 'output: '.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.  In the given sentence, the expression 'off the hook' holds a figurative meaning. The Spectator is not literally taking readers off a hook, but rather metaphorically freeing them from"
off the hook,"
     You are a native speaker of English, who can only generate one letter. Does the expression hold a figurative or literal meaning in the following contextual sentence? Generate a letter ""i"" for figurative meaning, or ""l"" for literal meaning.
    expression: 'off the hook'
    sentence; 'He was off the hook .'
    Only generate the letter after 'output: '.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.  In the sentence 'He was off the hook.', the expression 'off the hook' holds a figurative meaning. It means that he was no longer in trouble or no longer being pursued or"
off the hook,"
     You are a native speaker of English, who can only generate one letter. Does the expression hold a figurative or literal meaning in the following contextual sentence? Generate a letter ""i"" for figurative meaning, or ""l"" for literal meaning.
    expression: 'off the hook'
    sentence; 'I must have left it off the hook this morning .'
    Only generate the letter after 'output: '.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.  In the given sentence, 'I must have left it off the hook this morning', the expression 'off the hook' is used figuratively. It means to be free from a difficult or unple"
against the grain,"
     You are a native speaker of English, who can only generate one letter. Does the expression hold a figurative or literal meaning in the following contextual sentence? Generate a letter ""i"" for figurative meaning, or ""l"" for literal meaning.
    expression: 'against the grain'
    sentence; 'Out of duty she had caved in , but it still went against the grain .'
    Only generate the letter after 'output: '.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.  In the given sentence, 'Out of duty she had caved in, but it still went against the grain', the expression 'against the grain' is used figuratively. This means that"
against the grain,"
     You are a native speaker of English, who can only generate one letter. Does the expression hold a figurative or literal meaning in the following contextual sentence? Generate a letter ""i"" for figurative meaning, or ""l"" for literal meaning.
    expression: 'against the grain'
    sentence; 'Every erm pitchfork must come out one You ca n't start fighting and and pulling it against the grain otherwise you you would be in trouble .'
    Only generate the letter after 'output: '.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.  In the given sentence, the expression 'against the grain' holds a figurative meaning.

output: i"
play with fire,"
     You are a native speaker of English, who can only generate one letter. Does the expression hold a figurative or literal meaning in the following contextual sentence? Generate a letter ""i"" for figurative meaning, or ""l"" for literal meaning.
    expression: 'play with fire'
    sentence; 'The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves .'
    Only generate the letter after 'output: '.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.  output: 'i' (figurative meaning)"
play with fire,"
     You are a native speaker of English, who can only generate one letter. Does the expression hold a figurative or literal meaning in the following contextual sentence? Generate a letter ""i"" for figurative meaning, or ""l"" for literal meaning.
    expression: 'play with fire'
    sentence; 'The stunts became more daring and , in one episode , Crawford found himself literally playing with fire , when what looked like fireworks were attached to the back of his jacket and suddenly had to start exploding .'
    Only generate the letter after 'output: '.
Here is an example: The expression 'play with fire' occurs figuratively in the sentence: 'The war took away the unfortunate necessity , as Unionists saw it , to play with fire in the national interest , but it did not materially alter their view of themselves.', and literally in the setence: 'Despite the danger, he decided to play with fire, poking the embers with a stick.'.  output: l"
